Order_ID,Product_ID,Product_Name,Category,Price,Quantity,Order_Date,Shipping_Cost,Region,Total_Sale
A1086,P948,Society,Sports,428.01,1,2025-03-06,2.02,New York,430.03
A1087,P861,Check,Home & Kitchen,365.39,2,2024-08-02,12.86,Texas,743.64
A1088,P815,Cold,Beauty,286.62,5,2024-02-26,2.75,Illinois,1435.85
A1089,P1028,Treatment,Electronics,254.31,1,2024-02-05,14.86,California,269.17
A1090,P1330,Campaign,Books,207.95,3,2025-04-02,2.14,Ohio,625.99
A1091,P537,Over,Sports,158.17,3,2023-12-14,4.54,Ohio,479.05
A1092,P607,Science,Home & Kitchen,140.7,1,2023-06-12,7.69,New York,148.39
A1093,P1250,Occur,Books,165.29,5,2025-02-04,14.87,Washington,841.32
A1094,P1058,Ask,Clothing,169.68,5,2024-11-08,12.99,New York,861.39
A1095,P571,Bring,Home & Kitchen,197.94,5,2024-09-09,2.92,Florida,992.62
A1096,P650,Trade,Toys,430.97,4,2024-03-13,11.38,California,1735.26
A1097,P569,Garden,Home & Kitchen,318.16,3,2024-05-22,6.37,Florida,960.85
A1098,P1058,Party,Beauty,121.56,3,2023-07-10,4.52,Florida,369.2
A1099,P939,Start,Home & Kitchen,487.24,2,2025-02-05,7.3,New York,981.78
A1100,P739,Might,Beauty,457.75,5,2024-12-14,13.08,Florida,2301.83
A1101,P1030,Move,Home & Kitchen,343.17,5,2023-11-10,14.86,Washington,1730.71
A1102,P543,Affect,Toys,223.78,1,2023-06-24,13.88,Washington,237.66
A1103,P568,Because,Clothing,407.59,3,2024-02-04,10.24,New York,1233.01
A1104,P1287,Shake,Books,29.54,2,2023-05-21,0.61,Florida,59.69
A1105,P1418,Just,Home & Kitchen,5.24,5,2025-05-03,12.83,Washington,39.03
A1106,P567,Travel,Books,383.24,4,2024-10-15,4.33,Florida,1537.29
A1107,P1333,Require,Books,189.94,2,2023-06-26,14.1,Florida,393.98
A1108,P739,High,Home & Kitchen,396.94,1,2025-03-30,2.8,Washington,399.74
A1109,P1467,Well,Toys,15.25,2,2024-01-05,12.26,Florida,42.76
A1110,P904,Present,Books,145.78,5,2023-10-27,10.78,Florida,739.68
A1111,P1009,National,Home & Kitchen,395.4,1,2023-08-14,0.23,Texas,395.63
A1112,P942,Democrat,Sports,312.62,3,2025-05-08,3.4,Florida,941.26
A1113,P1210,Individual,Beauty,92.78,3,2023-12-31,0.05,Florida,278.39
A1114,P618,Low,Electronics,67.11,2,2023-08-29,12.47,Illinois,146.69
A1115,P1407,Company,Clothing,200.96,5,2024-01-07,11.95,California,1016.75
A1116,P1011,Important,Clothing,454.4,2,2024-08-14,1.5,Ohio,910.3
A1117,P888,Since,Toys,183.48,4,2024-11-05,7.32,Ohio,741.24
A1118,P1188,Despite,Beauty,483.29,2,2024-04-23,7.08,Washington,973.66
A1119,P735,Page,Beauty,72.71,5,2024-08-06,11.24,Florida,374.79
A1120,P1240,Present,Toys,301.7,4,2023-09-01,13.02,New York,1219.82
A1121,P902,Hospital,Toys,284.56,4,2023-09-14,5.04,Florida,1143.28
A1122,P519,Behind,Clothing,258.94,5,2024-04-23,4.87,Washington,1299.57
A1123,P584,Theory,Home & Kitchen,79.0,3,2023-06-05,11.82,Washington,248.82
A1124,P1308,President,Sports,272.35,1,2025-01-20,12.57,Texas,284.92
A1125,P639,There,Clothing,349.71,2,2024-09-05,1.8,Florida,701.22
A1126,P1097,Either,Toys,289.11,5,2024-07-07,13.22,New York,1458.77
A1127,P985,Politics,Sports,307.05,1,2023-08-18,14.6,Texas,321.65
A1128,P1153,Ready,Electronics,353.86,3,2024-06-06,7.31,Illinois,1068.89
A1129,P716,Continue,Home & Kitchen,110.45,2,2024-06-15,1.64,Florida,222.54
A1130,P1450,Draw,Clothing,329.65,3,2024-07-25,8.76,Florida,997.71
A1131,P813,Performance,Home & Kitchen,215.01,1,2023-06-30,12.58,Ohio,227.59
A1132,P779,They,Sports,437.96,2,2024-06-24,11.23,California,887.15
A1133,P672,Opportunity,Books,240.56,3,2025-01-29,9.65,Washington,731.33
A1134,P978,Type,Sports,281.76,5,2023-06-27,9.52,Washington,1418.32
A1135,P1420,Over,Toys,132.35,4,2025-04-08,6.38,Florida,535.78
A1136,P1158,Nation,Toys,366.12,4,2025-05-14,6.82,Florida,1471.3
A1137,P934,Whose,Books,418.26,2,2024-09-09,12.08,Illinois,848.6
A1138,P1473,Teach,Books,52.86,5,2025-03-18,0.07,Texas,264.37
A1139,P685,Like,Books,317.12,1,2023-07-31,12.29,Texas,329.41
A1140,P1274,Tax,Electronics,384.88,1,2024-12-23,4.77,Illinois,389.65
A1141,P1294,Until,Books,144.07,4,2024-02-03,6.19,Washington,582.47
A1142,P1115,Market,Electronics,288.92,3,2023-07-30,3.9,New York,870.66
A1143,P1252,Cause,Sports,386.12,1,2023-08-22,14.32,New York,400.44
A1144,P577,Look,Clothing,286.42,1,2024-04-21,1.99,Texas,288.41
A1145,P1237,Property,Electronics,433.95,1,2024-12-30,0.1,Washington,434.05
A1146,P1220,Other,Home & Kitchen,391.68,3,2024-02-26,8.13,California,1183.17
A1147,P701,Population,Clothing,131.76,2,2024-12-19,4.2,Illinois,267.72
A1148,P748,Candidate,Books,68.79,4,2024-05-07,9.65,Illinois,284.81
A1149,P1360,Sister,Electronics,295.8,2,2023-09-17,5.59,Texas,597.19
A1150,P749,Third,Beauty,438.55,4,2024-12-19,6.27,California,1760.47
A1151,P1296,First,Toys,189.84,2,2024-10-15,4.27,Ohio,383.95
A1152,P1437,Develop,Home & Kitchen,110.39,3,2025-03-30,1.85,Ohio,333.02
A1153,P923,Lay,Toys,126.25,1,2023-06-19,13.16,Ohio,139.41
A1154,P1180,Decide,Books,386.91,4,2023-07-21,13.01,Texas,1560.65
A1155,P847,Space,Electronics,157.16,3,2024-02-12,0.97,Illinois,472.45
A1156,P586,Best,Home & Kitchen,363.76,1,2023-09-05,4.66,New York,368.42
A1157,P1392,Sister,Beauty,17.27,2,2024-01-15,2.03,Ohio,36.57
A1158,P1466,Similar,Toys,271.6,4,2023-09-16,12.12,Florida,1098.52
A1159,P1345,Boy,Books,339.0,1,2025-03-03,10.8,Texas,349.8
A1160,P1036,Grow,Electronics,39.52,1,2023-10-14,0.99,California,40.51
A1161,P710,Fire,Sports,301.23,2,2025-01-05,9.9,Ohio,612.36
A1162,P1425,Drive,Sports,314.82,2,2024-08-02,7.41,Washington,637.05
A1163,P1405,Ask,Beauty,401.65,2,2024-12-16,13.16,California,816.46
A1164,P510,That,Electronics,166.67,3,2024-11-29,5.95,California,505.96
A1165,P875,Force,Electronics,205.84,5,2023-08-01,0.12,Illinois,1029.32
A1166,P795,Network,Clothing,236.34,5,2025-04-21,9.64,New York,1191.34
A1167,P548,Scene,Home & Kitchen,448.94,5,2024-08-09,9.43,Ohio,2254.13
A1168,P1393,Open,Toys,153.01,1,2023-10-09,8.64,California,161.65
A1169,P896,Audience,Electronics,76.19,5,2024-07-07,5.76,Washington,386.71
A1170,P762,Law,Home & Kitchen,231.06,5,2025-01-10,11.88,California,1167.18
A1171,P1009,Difference,Toys,134.64,4,2024-12-04,1.69,Ohio,540.25
A1172,P526,Billion,Electronics,71.81,3,2023-05-21,6.39,Washington,221.82
A1173,P1416,Bed,Home & Kitchen,261.26,5,2024-03-06,1.19,Texas,1307.49
A1174,P515,End,Clothing,99.89,4,2024-09-04,12.2,Ohio,411.76
A1175,P772,Out,Toys,422.08,2,2023-05-18,12.66,Ohio,856.82
A1176,P747,Congress,Books,87.33,5,2025-03-30,13.04,Ohio,449.69
A1177,P1401,Article,Home & Kitchen,462.86,1,2024-11-17,1.95,Florida,464.81
A1178,P697,World,Clothing,69.8,4,2024-08-29,10.38,Washington,289.58
A1179,P764,Teacher,Beauty,474.59,5,2024-02-02,11.54,Florida,2384.49
A1180,P827,Floor,Home & Kitchen,317.51,3,2024-03-17,14.49,Florida,967.02
A1181,P959,Reduce,Toys,296.3,4,2023-09-09,6.26,Ohio,1191.46
A1182,P986,Heavy,Toys,290.73,3,2023-10-13,13.41,Washington,885.6
A1183,P1230,Fly,Beauty,236.61,4,2024-10-12,2.52,Illinois,948.96
A1184,P592,Child,Clothing,200.16,2,2024-01-22,8.55,California,408.87
A1185,P873,Here,Sports,438.41,1,2024-07-18,8.32,Florida,446.73
A1186,P673,Perhaps,Beauty,107.79,4,2023-12-21,8.32,Florida,439.48
A1187,P1294,Dream,Home & Kitchen,239.92,1,2025-05-04,1.12,California,241.04
A1188,P895,Often,Books,330.07,2,2024-06-16,2.27,Ohio,662.41
A1189,P514,Hair,Toys,416.07,2,2024-03-17,10.46,California,842.6
A1190,P719,Democrat,Sports,410.24,1,2023-06-26,13.74,California,423.98
A1191,P880,Actually,Beauty,471.04,4,2023-07-02,6.4,Texas,1890.56
A1192,P693,Treatment,Home & Kitchen,345.96,4,2024-02-17,3.12,New York,1386.96
A1193,P807,Deep,Sports,250.78,4,2024-02-09,9.4,Ohio,1012.52
A1194,P649,Behavior,Home & Kitchen,72.92,4,2023-12-11,13.84,Ohio,305.52
A1195,P528,Rate,Books,179.35,5,2024-03-26,3.82,Florida,900.57
A1196,P977,Science,Books,340.78,1,2023-11-18,4.7,Florida,345.48
A1197,P1455,Past,Home & Kitchen,279.0,3,2024-01-01,1.74,Texas,838.74
A1198,P1125,Production,Books,297.83,4,2024-01-04,5.94,California,1197.26
A1199,P1066,View,Home & Kitchen,318.5,1,2023-08-19,5.99,Florida,324.49
A1200,P1339,Seem,Electronics,445.31,1,2025-05-02,14.74,Ohio,460.05
A1201,P604,Never,Books,215.98,1,2023-10-28,9.02,Texas,225.0
A1202,P836,Group,Sports,245.24,3,2024-08-31,12.95,California,748.67
A1203,P1200,Prevent,Beauty,137.26,3,2024-10-22,4.47,Florida,416.25
A1204,P1046,It,Books,495.67,3,2024-10-25,10.86,New York,1497.87
A1205,P1438,Project,Sports,363.98,2,2023-11-20,4.2,Texas,732.16
A1206,P982,Assume,Clothing,306.36,4,2024-10-15,1.99,Florida,1227.43
A1207,P1274,Trade,Books,89.36,3,2023-12-16,11.54,California,279.62
A1208,P1411,Hear,Sports,453.18,5,2024-09-05,9.57,Washington,2275.47
A1209,P795,Pressure,Beauty,164.73,1,2024-10-24,7.41,Florida,172.14
A1210,P997,Management,Home & Kitchen,190.56,5,2024-10-20,0.3,Texas,953.1
A1211,P528,Party,Toys,159.33,4,2023-09-29,7.03,Texas,644.35
A1212,P836,Media,Beauty,161.25,3,2025-05-05,3.98,Texas,487.73
A1213,P1089,Two,Home & Kitchen,326.81,1,2023-09-05,9.99,New York,336.8
A1214,P1176,Claim,Toys,329.15,1,2023-05-29,3.9,Ohio,333.05
A1215,P751,Anyone,Home & Kitchen,447.8,3,2024-12-06,3.09,Florida,1346.49
A1216,P844,Challenge,Home & Kitchen,356.98,1,2023-06-28,13.26,Texas,370.24
A1217,P886,Ground,Sports,381.31,4,2025-01-18,6.38,Washington,1531.62
A1218,P1193,Door,Home & Kitchen,394.08,1,2025-04-04,4.38,Ohio,398.46
A1219,P1357,Color,Home & Kitchen,291.48,5,2025-01-27,7.04,Florida,1464.44
A1220,P1105,Commercial,Books,183.21,1,2023-07-19,11.55,Texas,194.76
A1221,P1278,Claim,Books,178.11,3,2024-04-05,5.19,New York,539.52
A1222,P673,Guy,Electronics,175.85,4,2024-04-10,14.16,Washington,717.56
A1223,P730,Station,Sports,122.65,4,2024-02-06,1.4,Florida,492.0
A1224,P1078,Movement,Toys,253.67,1,2023-10-06,4.94,California,258.61
A1225,P1101,Increase,Home & Kitchen,6.44,3,2025-05-11,5.94,Florida,25.26
A1226,P740,Tonight,Clothing,128.22,5,2024-09-06,14.47,Washington,655.57
A1227,P1134,Than,Clothing,422.87,2,2024-02-20,14.64,California,860.38
A1228,P1118,Hard,Sports,190.49,4,2024-09-29,9.41,Ohio,771.37
A1229,P1050,Activity,Sports,219.35,4,2023-09-05,4.66,Ohio,882.06
A1230,P541,Father,Beauty,220.2,4,2024-09-14,14.6,Florida,895.4
A1231,P1490,Vote,Books,155.33,2,2024-09-17,10.97,New York,321.63
A1232,P778,Idea,Sports,9.63,3,2024-09-15,6.31,Ohio,35.2
A1233,P1121,Minute,Home & Kitchen,259.88,5,2025-02-24,7.9,Texas,1307.3
A1234,P614,Hope,Toys,153.74,4,2024-09-05,8.28,Illinois,623.24
A1235,P614,Little,Home & Kitchen,155.49,4,2023-07-29,13.67,California,635.63
A1236,P961,Able,Beauty,363.68,4,2024-03-05,9.49,New York,1464.21
A1237,P627,Indicate,Home & Kitchen,237.87,3,2023-07-20,8.48,California,722.09
A1238,P1028,Letter,Toys,164.04,4,2023-11-29,5.32,Texas,661.48
A1239,P614,Student,Beauty,366.31,4,2024-08-24,4.35,Illinois,1469.59
A1240,P1464,Guy,Clothing,136.49,2,2024-04-21,13.25,California,286.23
A1241,P517,Power,Electronics,31.29,1,2024-08-24,0.86,Washington,32.15
A1242,P1019,Thousand,Books,103.74,5,2025-02-11,5.54,Florida,524.24
A1243,P1440,Black,Sports,134.13,4,2024-06-02,10.42,Texas,546.94
A1244,P891,Doctor,Toys,314.91,5,2025-01-27,0.65,California,1575.2
A1245,P662,Value,Home & Kitchen,445.96,4,2025-01-25,5.58,Florida,1789.42
A1246,P689,Administration,Clothing,477.56,4,2024-12-19,1.32,Washington,1911.56
A1247,P847,Industry,Clothing,316.1,1,2023-05-20,14.55,Florida,330.65
A1248,P1216,Apply,Toys,189.22,1,2023-12-29,2.13,Florida,191.35
A1249,P519,Throughout,Clothing,52.23,1,2024-12-20,2.24,Illinois,54.47
A1250,P1047,Democratic,Toys,35.7,3,2024-11-23,9.17,Florida,116.27
A1251,P1243,All,Clothing,94.77,4,2024-05-06,4.95,New York,384.03
A1252,P1438,Upon,Books,130.33,5,2023-08-11,7.48,California,659.13
A1253,P984,Company,Toys,199.3,1,2023-07-29,10.11,Illinois,209.41
A1254,P1091,Address,Beauty,168.46,3,2024-02-13,1.08,Ohio,506.46
A1255,P745,Fear,Toys,132.39,1,2023-08-02,14.58,New York,146.97
A1256,P1182,Choice,Beauty,275.36,5,2024-09-23,4.61,Ohio,1381.41
A1257,P657,Real,Sports,322.41,2,2023-12-25,0.45,Washington,645.27
A1258,P800,Husband,Clothing,11.25,5,2023-08-03,5.22,New York,61.47
A1259,P1145,Person,Sports,107.95,1,2023-12-04,11.83,Washington,119.78
A1260,P930,Wide,Books,173.05,3,2024-06-11,13.09,Florida,532.24
A1261,P903,Manager,Home & Kitchen,188.55,1,2025-04-19,12.03,Ohio,200.58
A1262,P1161,Force,Home & Kitchen,9.94,1,2024-02-15,9.65,Washington,19.59
A1263,P520,Outside,Home & Kitchen,259.55,4,2024-07-20,7.61,Washington,1045.81
A1264,P1252,Walk,Toys,38.7,4,2024-06-14,14.63,Ohio,169.43
A1265,P1488,Difficult,Electronics,424.03,5,2023-06-24,8.06,California,2128.21
A1266,P1379,Activity,Beauty,439.34,2,2023-11-17,6.36,Illinois,885.04
A1267,P763,Sound,Toys,214.64,4,2023-10-27,12.06,Florida,870.62
A1268,P1205,Represent,Clothing,432.19,2,2025-01-25,2.81,New York,867.19
A1269,P1031,A,Home & Kitchen,54.64,5,2023-10-18,9.56,Ohio,282.76
A1270,P1024,Fall,Home & Kitchen,161.94,1,2025-03-10,6.68,Texas,168.62
A1271,P1301,Receive,Home & Kitchen,423.34,4,2023-11-12,13.6,Washington,1706.96
A1272,P1392,Question,Sports,413.32,1,2023-07-04,1.28,Florida,414.6
A1273,P1047,Natural,Clothing,315.09,3,2024-04-27,0.35,Florida,945.62
A1274,P700,Professional,Clothing,498.98,4,2024-07-01,11.76,Washington,2007.68
A1275,P1124,Impact,Beauty,491.35,4,2023-07-13,14.67,New York,1980.07
A1276,P1359,Near,Beauty,54.22,5,2023-11-28,2.13,Ohio,273.23
A1277,P1304,Identify,Toys,24.44,5,2025-03-02,10.3,Texas,132.5
A1278,P1343,Another,Sports,243.2,5,2024-07-22,6.2,Illinois,1222.2
A1279,P632,Boy,Electronics,16.45,2,2023-12-07,14.56,Illinois,47.46
A1280,P528,Community,Home & Kitchen,130.43,2,2024-12-11,4.51,Florida,265.37
A1281,P933,Entire,Toys,284.14,1,2024-08-04,11.91,Florida,296.05
A1282,P555,True,Beauty,69.18,3,2023-06-07,10.63,New York,218.17
A1283,P954,Force,Beauty,200.64,1,2023-12-30,4.21,Texas,204.85
A1284,P777,Simply,Home & Kitchen,328.38,4,2025-03-17,1.3,Washington,1314.82
A1285,P1086,Development,Electronics,104.87,5,2024-12-29,12.22,California,536.57
A1286,P565,Pick,Beauty,412.34,3,2023-05-15,5.34,Ohio,1242.36
A1287,P1477,Another,Sports,343.59,3,2023-12-17,5.19,Florida,1035.96
A1288,P1048,Assume,Toys,341.2,4,2025-05-09,13.57,Ohio,1378.37
A1289,P577,Remember,Sports,252.84,2,2023-08-03,7.63,Washington,513.31
A1290,P921,Various,Sports,483.23,1,2023-12-29,5.49,Washington,488.72
A1291,P1284,Avoid,Home & Kitchen,362.21,1,2023-12-13,2.35,Illinois,364.56
A1292,P888,Deal,Home & Kitchen,316.99,3,2024-03-30,14.68,California,965.65
A1293,P1021,Dream,Toys,446.05,2,2024-09-21,1.52,Illinois,893.62
A1294,P1027,Help,Electronics,450.55,5,2025-02-02,1.8,Texas,2254.55
A1295,P674,Play,Toys,452.05,3,2025-03-11,8.43,California,1364.58
A1296,P558,Before,Beauty,219.96,5,2024-08-27,13.29,Illinois,1113.09
A1297,P1095,Bill,Clothing,377.32,3,2025-03-30,3.97,New York,1135.93
A1298,P1478,Father,Home & Kitchen,455.85,1,2025-02-27,5.95,Illinois,461.8
A1299,P1075,North,Beauty,218.78,3,2024-06-28,11.8,New York,668.14
A1300,P1297,Of,Sports,332.68,3,2024-10-19,14.73,Ohio,1012.77
A1301,P528,Wind,Clothing,224.26,2,2025-01-30,0.43,Illinois,448.95
A1302,P1136,Expert,Beauty,430.2,4,2023-09-19,0.24,Ohio,1721.04
A1303,P777,Imagine,Clothing,232.37,2,2023-12-23,12.0,Texas,476.74
A1304,P540,Card,Clothing,176.44,4,2023-07-06,8.66,Florida,714.42
A1305,P1266,Easy,Beauty,436.83,5,2024-11-19,9.24,Illinois,2193.39
A1306,P885,Finish,Home & Kitchen,179.85,5,2025-03-11,4.52,Illinois,903.77
A1307,P719,And,Home & Kitchen,253.93,4,2024-10-22,9.28,California,1025.0
A1308,P1260,Box,Home & Kitchen,363.55,3,2024-01-31,3.69,Ohio,1094.34
A1309,P889,Start,Clothing,174.38,3,2024-04-24,2.66,Washington,525.8
A1310,P1497,Actually,Sports,199.48,3,2023-10-07,8.62,Illinois,607.06
A1311,P681,Eat,Beauty,327.69,2,2024-06-05,11.27,California,666.65
A1312,P1474,With,Home & Kitchen,99.15,4,2023-10-08,7.67,Texas,404.27
A1313,P1364,Perform,Clothing,428.59,3,2023-07-14,7.58,California,1293.35
A1314,P1482,Response,Home & Kitchen,417.57,3,2024-03-20,4.72,Florida,1257.43
A1315,P788,Rate,Home & Kitchen,423.74,1,2025-03-02,8.53,Illinois,432.27
A1316,P789,Consumer,Clothing,286.17,3,2023-06-16,8.77,Ohio,867.28
A1317,P852,Top,Clothing,310.33,3,2025-04-22,2.35,Florida,933.34
A1318,P1145,Collection,Toys,184.63,4,2023-10-15,8.45,New York,746.97
A1319,P961,Attack,Home & Kitchen,71.09,2,2024-04-03,6.4,Washington,148.58
A1320,P941,Organization,Electronics,121.96,3,2023-08-23,8.59,Texas,374.47
A1321,P872,Campaign,Clothing,291.67,1,2023-09-24,12.52,New York,304.19
A1322,P743,Response,Sports,211.52,4,2023-11-09,6.44,Illinois,852.52
A1323,P919,Everything,Electronics,357.83,4,2024-04-06,6.83,Washington,1438.15
A1324,P693,Lay,Electronics,484.24,2,2024-02-17,8.78,Florida,977.26
A1325,P1033,Final,Home & Kitchen,183.51,5,2023-10-11,13.46,Washington,931.01
A1326,P741,Can,Books,21.08,4,2023-05-17,11.85,New York,96.17
A1327,P1432,Attorney,Clothing,209.02,2,2024-09-02,9.84,Texas,427.88
A1328,P1342,Right,Electronics,25.35,5,2025-02-26,9.87,California,136.62
A1329,P806,Final,Toys,167.08,2,2023-10-19,12.49,Florida,346.65
A1330,P1157,Into,Home & Kitchen,12.87,1,2023-11-09,12.96,New York,25.83
A1331,P510,Serious,Sports,75.22,1,2023-06-07,11.45,Texas,86.67
A1332,P1482,Week,Home & Kitchen,221.3,4,2025-02-16,13.23,New York,898.43
A1333,P1424,End,Clothing,374.64,4,2024-07-26,14.05,Washington,1512.61
